NO,LABEL,TEXT
0,2,Depan pom Pertamina jl. Rasuna Sa'id  Kuningan Jaksel Alhamdulillah aman ga #banjir https://t.co/sFaCss7KvN
1,4,"Ujan dr semalem udh bikin banjir kaya gini. Hmm
#banjir #BanjirJakarta #banjir2020 https://t.co/6GdM4MHUm6"
2,4,"Neduh gw paling lama nih keknya, malem kmarin sampe subuh
Otw pulang malah banjir nih menteng 😩"
3,4,Lokasi bendungan hilir banjir #BanjirJakarta @TMCPoldaMetro https://t.co/lEVlzvsbAv
4,2,"Hello again, Flood! 
#banjirjakarta #banjir https://t.co/x5hPlmamWt"
5,,#banjir https://t.co/vW08TJcV1r
6,2,Semangat pagi sobat Bendungan Hilir #Banjir #BanjirJakarta https://t.co/355G4OxJKf
7,4,"""Maju kotanya, banjir warganya"" teriak seorang pengendara lain. Pagi ini menuju kantor di jalan gatot subroto. Mungkin bapaknya sudah geram, tapi dibawa ketawa aja. Sama kayak saya, yg  pagi ini, kantor hampir dikelilingi air semua, setelah 9 tahun tidak pernah seperti ini."
8,4,Udah ada janji! Hebring-Kalideres-Mangga Besar-BlokM terjang hujan lebat dan jalanan banjir ketika sampai lokasi liat jam tepat menunjukkan pukul 01:30 pagi dan suasana lokasi sudah sepi (༎ຶ ෴ ༎ຶ) iyaudah lah mau gimana lagi udah jam 1 lewat juga gabisa salahin siapa-siapa juga. https://t.co/GlhUrS4XZr
9,4,"@TMCPoldaMetro bukit duri tanjakan banjir, udh tanjakan tetep banjir. biasanye banjir cuma kiriman bogor depok. tahun ini terpatahkan, pake aer ujan skrg bisa tetep banjir. https://t.co/55vfLZO54B"
10,2,"Karena beberapa akses jalan kekantor tertutup banjir, jadilah aku disini makan sama mbak https://t.co/oxGgSnl4N7"
11,1,"#banjir ; jln setiawan cililitan kecil rw 07 kel cililitan, jkt timur @petabencana https://t.co/YTLvclNexk"
12,5,"[Selepas Operasi Cesar Ibu dan Bayi Terpaksa Dievakuasi karena Banjir]

Sahabat Inisiator, banjir yang menggenangi Rumah Sakit Kartika Pulo Mas, Kayu Putih, terpaksa membuat pihak RS harus mengevakuasi pasiennya… https://t.co/3C1k5eXCHa"
13,2,"Mari kita semua berdoa semoga sodara""kita yg terkena banjir di berikan ketabahan dan pertolongan/bantuan yg layak oleh pemprov DKI JAKARTA https://t.co/3O20B2Jy6B"
14,4,"Gak kebanyang kalo orang yang kena banjir, ampe sulit akses kemana2, liat ini . Terakhir, dikira orang sabtu minggu ga kerja ya. Goblok ! https://t.co/dNLqXMruAL"
15,4,"Kok gak nagih ke Jokowi, kan dia janji DKI bebas banjir kalau dia jd Presiden, udah 6 thn jd Presiden, kalau Anies gak pernah janji, cuma berusaha biar gak banjir https://t.co/O5VthTy8fk"
16,4,"Anies itu gak pernah janji masalah banjir busa diatasin...yg janji tuh Jokowi bilang banjir DKI bs teratasin kalau dia Presiden, kok gak nagih Jokowi ya mereka https://t.co/vfsY5uYO1U"
17,2,@denywidjaja_17 inshaallah engga ko den... situ banjir g ?
18,2,@VistaEarth Lha gw kira banjir.
19,2,"@Prambors Pernah.. Dulu smp ada tambahan UN pagi² karna deres, banjir &amp; macet total kita ngide jalan kaki, sesampai di sklh bimbelnya tinggal 10 menit lg, kita akhirnya ngumpet di toilet dan baru sadar kalau kita ngelewatin banjir pake sepatu, sendalnya malah kering di tas hehe (bodohnya)"
20,3,"Semakin aneh. Gubernur ga bs manage upaya pencegahan banjir. Sibuk pencitraan. Trus pendukungnya akan cari alesan sana sini buat belain. Get real, dude. He’s so fail, so far.."
21,4,Pd ribut aja.. Ribut ga bikin banjir surut jg 😔 https://t.co/dNW9MV9gNP
22,2,"Akhirnya ngerasain susah mau ngantor Karena jalanan menuju Kemang banjir semua, alhamdulillah tadi bisa lewat Kemvil dan diijinin keluar dari situ."
23,2,"@tsukilunacchi Ini cara saya menghindar banjir dan macet dari Cibubur ke South Quarter Dome.

Terimakasih google Maps! 

#Meeting https://t.co/9lE29gTSZT"
24,5,"@hrdbacot Disuruh tetep ngantor krn kntr ga banjir, kecuali rumah kebanjiran.. derita nya klo kejebak macet dan banjir otw kntr.."
25,2,@sayangiususmuu Jangan lupa laki2 pakai ini supaya ciwi2 ga hamil saat banjir bersama nanti https://t.co/GkZs5tqA7x
26,2,"@Jirolupat_ Teras kostku ngene 😂😂😂 
""Kemang kaline banjir...."" https://t.co/cpWWFYNkqw"
27,4,"Kostku kebanjiaran, nggak bisa ke mana-mana. Dari pagi sampai jam segini mantengin twitter soal #Banjir mulai dari prihatin sampai ketawa pasrah. 

Eh, jangan-jangan nanti Gubernur DKI pikir, ""Warga tetap santuy kok ngadepin banjir."" Hadeuuuuh! #banjirjakarta https://t.co/fKvAJjFaJF"
28,4,"Karena banjir, ganjil-genap tidak diberlakukan di jalur-jalur utama Jakarta. Tapi ya bukan gini juga maksudnya. 

@TMCPoldaMetro https://t.co/OPcLqKGslp"
29,,"Dini hari tadi Kemang Selatan XII, Jakarta Selatan menyatakan keikutsertaannya dlm keriaan #banjirjakarta 2020 utk kesekian kalinya. 

Semoga kali ini kawasan ini diakui sebagai peserta #banjir setelah kecewa tdk dinyatakan banjir oleh @aniesbaswedan pd peristiwa tahun baru lalu https://t.co/F77t8abuRK"
30,5,@blanthik_ayu Listrikku matek mbak. Diputus PLN. Kemang banjir. Laaah aku ora iso nyuci.
31,5,"Dibayar tunai, sekarang banjir di hari selasa 😭 kadruun kadruun https://t.co/tyBfBLSBHf"
32,1,Awww gemesh bangeeet ini tanggal item juga banjir saking solehnya 🥰 https://t.co/O83jHZxrtb
33,1,Thanks Anies gubernur terbaique 🙏🏻💕 aku sekarang ke kantor hampir 3 jam lohhh karena banjir dan road closures di mana mana 😍🥰
34,1,@Yaqination @wiponk @daryanfahmi @ZulkyO O tentu tidak. Kosanku bebas banjir sejauh ini 😂
35,1,"#BanjirJakarta2020 
#banjir https://t.co/z5yD1FBa66"
36,5,"Ngeliat IG banjir ✅
Ngeliat Facebook banjir ✅
Ngeliat Twitter banjir ✅

Eeeehhhh pas ngeliat dompet malah mulai kering 😂😂😂

#PapaEko"
37,2,Gak ada info banjir di kawasan Tangerang Selatan nih min? Tx @RadioElshinta
38,2,"Waspada banjir di mana² hari ini yaaaa...

@nonAngie 🙏💪"
39,1,@eleanor_83 Pengambilan keputusan yg tepat mas bro. Istri &amp; anak bisa hidup tenang &amp; nyaman tanpa kepikiran banjir lagi 😊💪
40,5,Orang bule aja mau bantuin petugas kebersihan nguras sm mungut sampah banjir. Nah kita? 😅
41,4,"Tanggal 1 Januari lalu boleh lah kaget. Gak nyangka curah hujan tinggi banget, gak ada tanda-tanda akan banjir sangat besar. Lalu kebobolan tanpa persiapan. Tapi kalo sekarang masih begitu juga, itu namanya gak mau belajar dari kejadian lampau. Geram!"
42,3,"@ZoneVenomWar @BillyBoen Banjir tapi di titik tertentu ,Kalo puri sakti itu udah pasti jangan karna emmag kawasan banjir ,kemang paling aman di kemang timur"
43,4,"Jijik banget denger bacotan pro anies ,banjir adalah berkah ,karna jakarta adalah kota penuh dengan rawa ,halah bacot lu rumah lu noh kelelep"
44,5,Pertama kali gajadi balik karena force majeur ceunah aka banjir 🤔
45,4,Lagi musim banjir disuru ke Sukabumi hadeh
46,1,"Selain mindahin mobil, dokumen penting, dan barang berharga, sebelum banjir minum pil kb/susuk/pasang spiral.
Nanti bukan bonus demografi lagi, tapi ledakan demografi. 
Jakarta banjir ndak kelar-kelar je. Gak weekend gak weekdays."
47,5,"Liat timeline @TMCPoldaMetro isinya banjir semua 🙈

Stay safe guys."
48,,"ただいまチランダック/Cilandak辺り。既に水が溢れてる箇所あり。今日も朝から大雨のジャカルタ☔

#cilandak #jakata #jakartaselatan #banjir #ジャカルタ生活 #洪水"
49,2,Titik-titik banjir: Hujan deras yang terjadi mulai Senin (24/2) malam mengakibatkan sejumlah wilayah di Jakarta terendam banjir. #kumparanNEWS https://t.co/jtPrJILaCE
50,,"Ini hari kerja dan banjir,berarti gak soleh dongggghh https://t.co/qzGj2oK9KN"
51,,Ini hujan dan banjir gini gak bisa ke sunter nih
52,4,"Meskipun gubernurnya soleh, tapi hari Selasa gini tetep banjir. Apa yang salah?"
53,4,"Pagi ini hujan pasti ada bagian di Jkt yg terkena banjir. Jkt sejak zmn baheula sdh banjir. Mk ada Rawajati, Rawamangun, Rawabadak dll. Pr Gub DKi dr ms ke ms berjuang atasi banjir blm berhsl. Anies dlm 2 thn pimpin DKI jg  blm berhasil. Para politisi penganggur hajar Anies"
54,3,@kerupukkkaleng Iya dsini jg dr kmrin malem hujannya smpe skrg ga brhnti2. Di rumahku klo banjir tu biasanya kiriman.. soalnya kmrin2 ga banjir walaupun hujan mulu
55,2,"Bela Anies Terkait Banjir, Bamus Betawi: Bersyukur Banjir Terjadi di Hari Libur, Ada Hikmahnya https://t.co/scyqB1KMuQ"
56,4,Please banjir atau tenggelemin aja sekalian jakarta
57,4,"😀😀😀😀 tagih ke Jokowi tuh, janjinya jika jd Presiden banjir DKI teratasin https://t.co/p6grRoYIeh"
58,2,"Iya pak anies nunggu janji Jokowi, jadi Presiden banjir DKI hilang, kan kata Jokowi gitu 😃😃😃 https://t.co/C9mM3OahZz"
59,4,"Ayo mas Joko janji nya ditepatin, katanya banjir jakarta akan teratasin jika jd presiden https://t.co/TxrzEmkpmt"
60,4,Cuman mau bilang si kalo banjir jakarta kali ini paling parah selama 7 tahun gw kuliah pp cemput depok itu yg namanya cawang gak pernah banjirrr setinggi itu
61,2,"Anies mau ikut jejak Jokowi, jadi Presiden baru bisa atasin banjir Jakarta 😃😃😃😃 https://t.co/yFOpHDW6rI"
62,5,Astagfirullah Kelapa Gading banjir lagi https://t.co/ERNbxTmSON
63,5,Wah banjir mulu
64,,Hujan deras yang mengguyur ada Minggu (23/2) dini hari menyebabkan sejumlah wilayah Jakarta dilanda banjir. https://t.co/iAyXRDvFEg
65,,Banjir menimpa Negara Adidaya https://t.co/1HALLBpTQe
66,4,Moga gak banjir -_-
67,2,@dwigartika Wkwkwkw katanya sering banjir
68,4,"Maaf survei abal-abal. Yg disurvei banjir di Jakarta, tapi responden 1200 dari seluruh Indonesia. https://t.co/a3Cvlwxrnc"
69,5,"Mulai naik air nya ... 😟
.
.
.
#banjir
#siagabanjir @ Kampung Gaga Caplin Ciledug https://t.co/efeMOLZBtl"
70,5,"Lautan sampah di Parung Serab depan ruko Dian Mansion.
.
@dlstrr05 via Twitter:
Dari dulu tmpt ini gprnh bersih dari yg namanya sampah sekalipun bersih paginya udh numpuk lagi Dan pas banjir beginilah akibatnya.tlg… https://t.co/cjSLDZhnrK"
71,2,"Sebagai bentuk mawas diri akan musibah banjir, mari beesama2 jaga kebersihan dgn tidak membuang sampah sembarangan.
Perlu diingat, puntung rokok juga merupakan bentuk sampah."
72,2,"Jajaran terkait siap membangun pos pengungsian -&gt; https://t.co/QHBp5NPudL

Jajaran terkati lakukan evaluasi terkait banjir yg terjadi agar bisa mengantisipasi -&gt; https://t.co/SNhZSFDTLr

Sama sama kebanjiran toh"
73,4,"Yang gak ngizinin iku loh sopo????

https://t.co/zXtDOfnm1Y"
74,4,"@12m3ly @aniesbaswedan @jokowi Kelihatan banget area tersebut butuh EDUKASI JAGA LIMGKUNGAN DARI SAMPAH RUMAH TANGGA 

bener kata orang tua....KITA AKAN TUAI APA YG KITA TANAM..

Mau ga banjir tapi buang sampah seudelnye..
Giliran banjir nyalahin @PemdaDKIJakarta 

Tolong pak @aniesbaswedan mrk diberi edukasi"
75,5,@ndanduy Wkwk tau ahh. Baru kali ini gw setahun sampe 2x kena banjir
76,5,@dellmadestra @IniPamulang @Kota_Tangerang @Kabar_Tangsel Kalo kali nya mah biasanya gapernah smpe ada sampah numpuk bersih.  Itu sampah yg dibuang dipinggir jalan setiap harinya ada aja sampah. Dan akhirnya banjir jadi bgtu 😓
77,2,"untung udh netap di Semarang. ga kebayang bokap nyokap yg tiap minggu hrs ke daerah Cempaka Putih-Kelapa Gading hrs muter otak lewat mana lagi karena sensitif bgt, hujan dikit aja banjir se-dada orang dewasa😕"
78,3,Menangani Banjir dan Kemacetan akan lebih Mudah jika Jadi Presiden...
79,4,"Berita terpopuler hari ini JAKARTA BANJIR, apa Jakarta tidak punya pimpinan yg berkompeten sehingga bajir terus menerus terjadi https://t.co/nxvsyamaIM"
80,2,@ziaacu Terimakasih pakk polrii sudah dengan suka rela membantu para masyarakat yg sedang lewat dilokasi titik banjir sshat² selalu bapak #PolriHadirUntukRakyat
81,2,"Untuk bapak @pardedereza kenapa anda tidak muncul, anda kan seorang pengendali banjir.
.
.
.
Hiya Hiya hiya"
82,4,jadi kalo udah gini salah siapa? #banjir https://t.co/H87KEb63nc
83,4,"Hallo @PerjakaGesit @Kota_Tangerang jembatan baru yang di jalan raden fatah, kok jadinya useless gt yah. Sdh 2x banjir termasuk hari, tuh jembatan gk bisa di lewati.  Gmn desain awalnya yah? Cc @AboutTNG @AriefWismansyah"
84,,@DKIJakarta @kondekturbus @RadioElshinta @SonoraFM92 mohon info apakah daerah lebak  bulus ada jalan yg banjir /terendam?
85,2,"Terus kalo banjir, yang kena kan cowo dan cewe. Bisa hamil dong nanti 🤔"
86,2,"Disatu sisi warga kesal dengan pemerintah karna banjir, disisi lain anak sekolah senang sekolah diliburkan karna banjir."
87,2,"Padahal BMKG dari akhir tahun udah memperingatkan hujan besar dipertengahan februari-maret berpotensi banjir, aq sih udah ga kaget kalo banjir."
88,2,"Tenang Kawan-kawan biarpun Banjir
Krusty Krab tetap buka seperti biasa."
89,2,"Tenang kawan-kawan kita pasti bisa 
melewati masalah banjir ini, karna kita 
sudah pernah melewati masalah 
kiamat 2012."
90,5,"Liat Ibukota Banjir, liat dompet Kering."
91,,@luxyriz Banjir
92,,"Kehamilan bisa terjadi pada wanita di kolam renang, walau tanpa berhubungan badan

Banjir cuma terjadi di hari libur

Yuk 1 statement lagi yuk, biar gobloknya hattrick."
93,5,Banjir gais terpaksa berangkat pulang sampe rumah macem kucing keujanan:v https://t.co/fclna3Vgw6
94,3,"Alhamdulillah rumah ga banjir

Tapi tl semua sosmed gua banjir ):
#banjir"
95,2,Senang dah kau jhon bolak balik rumah #banjir https://t.co/dWDtvhBz6d
96,4,Yakin masih mau lanjutin formula e nya pak? Apa sebaiknya dana penyelenggaran di geser utk hal yg lebih berguna seperti penanggulangan banjir mungkin
