text,label
Depan pom Pertamina jl. Rasuna Said  Kuningan Jaksel Alhamdulillah aman ga #banjir https://t.co/sFaCss7KvN,2
"Ujan dr semalem udh bikin banjir kaya gini. Hmm
#banjir #BanjirJakarta #banjir2020 https://t.co/6GdM4MHUm6",4
"Neduh gw paling lama nih keknya, malem kmarin sampe subuh
Otw pulang malah banjir nih menteng 😩",5
Lokasi bendungan hilir banjir #BanjirJakarta @TMCPoldaMetro https://t.co/lEVlzvsbAv,4
Semangat pagi sobat Bendungan Hilir #Banjir #BanjirJakarta https://t.co/355G4OxJKf,2
"""Maju kotanya, banjir warganya"" teriak seorang pengendara lain. Pagi ini menuju kantor di jalan gatot subroto. Mungkin bapaknya sudah geram, tapi dibawa ketawa aja. Sama kayak saya, yg  pagi ini, kantor hampir dikelilingi air semua, setelah 9 tahun tidak pernah seperti ini.",4
Udah ada janji! Hebring-Kalideres-Mangga Besar-BlokM terjang hujan lebat dan jalanan banjir ketika sampai lokasi liat jam tepat menunjukkan pukul 01:30 pagi dan suasana lokasi sudah sepi (༎ຶ ෴ ༎ຶ) iyaudah lah mau gimana lagi udah jam 1 lewat juga gabisa salahin siapa-siapa juga. https://t.co/GlhUrS4XZr,4
"@TMCPoldaMetro bukit duri tanjakan banjir, udh tanjakan tetep banjir. biasanye banjir cuma kiriman bogor depok. tahun ini terpatahkan, pake aer ujan skrg bisa tetep banjir. https://t.co/55vfLZO54B",5
"Karena beberapa akses jalan kekantor tertutup banjir, jadilah aku disini makan sama mbak https://t.co/oxGgSnl4N7",2
"Mari kita semua berdoa semoga sodara""kita yg terkena banjir di berikan ketabahan dan pertolongan/bantuan yg layak oleh pemprov DKI JAKARTA https://t.co/3O20B2Jy6B",2
"Gak kebanyang kalo orang yang kena banjir, ampe sulit akses kemana2, liat ini . Terakhir, dikira orang sabtu minggu ga kerja ya. Goblok ! https://t.co/dNLqXMruAL",5
"Kok gak nagih ke Jokowi, kan dia janji DKI bebas banjir kalau dia jd Presiden, udah 6 thn jd Presiden, kalau Anies gak pernah janji, cuma berusaha biar gak banjir https://t.co/O5VthTy8fk",4
"Anies itu gak pernah janji masalah banjir busa diatasin...yg janji tuh Jokowi bilang banjir DKI bs teratasin kalau dia Presiden, kok gak nagih Jokowi ya mereka https://t.co/vfsY5uYO1U",4
"Semakin aneh. Gubernur ga bs manage upaya pencegahan banjir. Sibuk pencitraan. Trus pendukungnya akan cari alesan sana sini buat belain. Get real, dude. He’s so fail, so far..",4
Pd ribut aja.. Ribut ga bikin banjir surut jg 😔 https://t.co/dNW9MV9gNP,5
"Akhirnya ngerasain susah mau ngantor Karena jalanan menuju Kemang banjir semua, alhamdulillah tadi bisa lewat Kemvil dan diijinin keluar dari situ.",2
"@tsukilunacchi Ini cara saya menghindar banjir dan macet dari Cibubur ke South Quarter Dome.

Terimakasih google Maps! 

#Meeting https://t.co/9lE29gTSZT",2
"@hrdbacot Disuruh tetep ngantor krn kntr ga banjir, kecuali rumah kebanjiran.. derita nya klo kejebak macet dan banjir otw kntr..",5
"@Jirolupat_ Teras kostku ngene 😂😂😂 
""Kemang kaline banjir...."" https://t.co/cpWWFYNkqw",2
"Kostku kebanjiaran, nggak bisa ke mana-mana. Dari pagi sampai jam segini mantengin twitter soal #Banjir mulai dari prihatin sampai ketawa pasrah. 

Eh, jangan-jangan nanti Gubernur DKI pikir, ""Warga tetap santuy kok ngadepin banjir."" Hadeuuuuh! #banjirjakarta https://t.co/fKvAJjFaJF",5
"Karena banjir, ganjil-genap tidak diberlakukan di jalur-jalur utama Jakarta. Tapi ya bukan gini juga maksudnya. 

@TMCPoldaMetro https://t.co/OPcLqKGslp",4
