,without_tag
0,Depan pom Pertamina jl. Rasuna Sa'id  Kuningan Jaksel Alhamdulillah aman ga  
1,Ujan dr semalem udh bikin banjir kaya gini. Hmm   
2,"Neduh gw paling lama nih keknya, malem kmarin sampe subuhOtw pulang malah banjir nih menteng "
3,Lokasi bendungan hilir banjir   
4,"Hello again, Flood!   "
5, 
6,Semangat pagi sobat Bendungan Hilir   
7,"""Maju kotanya, banjir warganya"" teriak seorang pengendara lain. Pagi ini menuju kantor di jalan gatot subroto. Mungkin bapaknya sudah geram, tapi dibawa ketawa aja. Sama kayak saya, yg  pagi ini, kantor hampir dikelilingi air semua, setelah  tahun tidak pernah seperti ini."
8,Udah ada janji! Hebring-Kalideres-Mangga Besar-BlokM terjang hujan lebat dan jalanan banjir ketika sampai lokasi liat jam tepat menunjukkan pukul : pagi dan suasana lokasi sudah sepi (༎ຶ ෴ ༎ຶ) iyaudah lah mau gimana lagi udah jam  lewat juga gabisa salahin siapa-siapa juga. 
9," bukit duri tanjakan banjir, udh tanjakan tetep banjir. biasanye banjir cuma kiriman bogor depok. tahun ini terpatahkan, pake aer ujan skrg bisa tetep banjir. "
10,"Karena beberapa akses jalan kekantor tertutup banjir, jadilah aku disini makan sama mbak "
11," ; jln setiawan cililitan kecil rw  kel cililitan, jkt timur  "
12,"[Selepas Operasi Cesar Ibu dan Bayi Terpaksa Dievakuasi karena Banjir]Sahabat Inisiator, banjir yang menggenangi Rumah Sakit Kartika Pulo Mas, Kayu Putih, terpaksa membuat pihak RS harus mengevakuasi pasiennya… "
13,"Mari kita semua berdoa semoga sodara""kita yg terkena banjir di berikan ketabahan dan pertolongan/bantuan yg layak oleh pemprov DKI JAKARTA "
14,"Gak kebanyang kalo orang yang kena banjir, ampe sulit akses kemana, liat ini . Terakhir, dikira orang sabtu minggu ga kerja ya. Goblok ! "
15,"Kok gak nagih ke Jokowi, kan dia janji DKI bebas banjir kalau dia jd Presiden, udah  thn jd Presiden, kalau Anies gak pernah janji, cuma berusaha biar gak banjir "
16,"Anies itu gak pernah janji masalah banjir busa diatasin...yg janji tuh Jokowi bilang banjir DKI bs teratasin kalau dia Presiden, kok gak nagih Jokowi ya mereka "
17, inshaallah engga ko den... situ banjir g ?
18, Lha gw kira banjir.
19," Pernah.. Dulu smp ada tambahan UN pagi² karna deres, banjir &amp; macet total kita ngide jalan kaki, sesampai di sklh bimbelnya tinggal  menit lg, kita akhirnya ngumpet di toilet dan baru sadar kalau kita ngelewatin banjir pake sepatu, sendalnya malah kering di tas hehe (bodohnya)"
20,"Semakin aneh. Gubernur ga bs manage upaya pencegahan banjir. Sibuk pencitraan. Trus pendukungnya akan cari alesan sana sini buat belain. Get real, dude. He’s so fail, so far.."
21,Pd ribut aja.. Ribut ga bikin banjir surut jg  
22,"Akhirnya ngerasain susah mau ngantor Karena jalanan menuju Kemang banjir semua, alhamdulillah tadi bisa lewat Kemvil dan diijinin keluar dari situ."
23, Ini cara saya menghindar banjir dan macet dari Cibubur ke South Quarter Dome.Terimakasih google Maps!  
24," Disuruh tetep ngantor krn kntr ga banjir, kecuali rumah kebanjiran.. derita nya klo kejebak macet dan banjir otw kntr.."
25, Jangan lupa laki pakai ini supaya ciwi ga hamil saat banjir bersama nanti 
26," Teras kostku ngene  ""Kemang kaline banjir...."" "
27,"Kostku kebanjiaran, nggak bisa ke mana-mana. Dari pagi sampai jam segini mantengin twitter soal  mulai dari prihatin sampai ketawa pasrah. Eh, jangan-jangan nanti Gubernur DKI pikir, ""Warga tetap santuy kok ngadepin banjir."" Hadeuuuuh!  "
28,"Karena banjir, ganjil-genap tidak diberlakukan di jalur-jalur utama Jakarta. Tapi ya bukan gini juga maksudnya.  "
